,LIMIT_BAL,PB1,PB2,PB3,PB4,PB5,PB6
4396,80000,-4860,5640,-390,780,0,0
4397,160000,-2985,5665,560,-272,-5995,7635
4398,380000,163183,100289,64275,27723,50712,7751
4399,220000,24751,32402,29682,31407,32128,17826
4400,50000,0,0,0,0,0,0
4401,140000,91310,94102,96414,94896,108405,102649
4402,270000,53696,55491,56743,26830,21184,12053
4403,50000,49212,48869,19122,19501,19427,18010
4404,100000,49111,50050,56230,61693,59186,57949
4405,360000,3068,-4572,1454,912,-3091,-7189
4406,20000,18258,18099,19285,19400,18637,18947
4407,50000,48774,48416,48175,19017,19026,19340
4408,360000,361863,331842,275926,261159,262860,270001
4409,20000,-5005,2795,-3853,-1953,1262,5163
4410,100000,67542,69400,71489,72662,74444,73054
4411,80000,73817,73154,43401,14552,1755,-38610
4412,140000,131918,122736,123237,91159,90794,86345
4413,390000,59440,62496,63566,60411,61597,55361
4414,350000,-2445,2770,2239,-78478,77250,75918
4415,170000,0,-390,780,780,0,0
4416,270000,192044,50052,58660,67184,65591,76945
4417,460000,42192,34047,35415,-1619,-2176,2841
4418,200000,-4638,3706,3799,-1376,1973,210
4419,450000,108,-14558,12930,-102,-2557,3839
4420,240000,108,99,0,0,0,0
4421,260000,0,0,0,-19500,19500,0
4422,110000,22147,23750,25512,22762,25726,37779
4423,50000,36753,37909,38047,32307,27316,0
4424,250000,247260,262132,233776,179817,178488,175091
4425,380000,-9438,13253,-4,-4,-4,-4
4426,110000,39772,40652,42625,43579,44843,46462
4427,200000,26446,367,0,-561,-3317,3851
4428,500000,-18468,34000,-41146,60952,47924,-39077
4429,260000,67500,63137,71218,82681,77449,79268
4430,270000,57654,56445,49715,46796,43256,49733
4431,150000,11453,13922,18590,17620,38000,0
4432,30000,27669,25755,25925,27079,28545,26942
4433,290000,287659,-20210,19190,-154505,149502,139691
4434,200000,0,0,0,0,-476,802
4435,210000,552,-18,-18,-18,-18,-18
4436,100000,0,0,0,0,0,0
4437,50000,43069,44550,43549,19080,19261,18437
4438,210000,12000,0,-307,4533,1090,-61510
4439,240000,-19095,-43000,-23873,-735,3245,3392
4440,140000,32377,32202,19945,23581,22066,22513
4441,50000,34455,11101,9527,9679,9734,10550
4442,360000,0,0,0,0,0,-3220
4443,180000,78973,83989,89895,68738,97382,135470
4444,100000,110072,108478,104761,104554,102360,100413
4445,90000,4493,5530,7135,7520,7151,9350
4446,90000,1243,-2366,1298,-1438,-69005,63629
4447,90000,86703,92152,79871,91280,79368,91047
4448,30000,780,-390,-359,359,390,-805
4449,300000,44833,44831,46818,45244,44484,48472
4450,20000,17149,18716,19287,19503,19062,14103
4451,30000,6341,8039,5949,14611,16179,18212
4452,50000,9814,13588,15321,17026,18714,21370
4453,50000,889,0,0,0,0,0
4454,30000,7489,7712,10438,9453,9022,7737
4455,60000,47262,44126,45557,46464,47532,47552
4456,200000,0,0,0,0,-476,188
4457,450000,-190,1810,0,0,0,-1040
4458,140000,123833,111662,108570,99231,96279,98815
4459,120000,105948,111346,114592,36412,38522,39200
4460,270000,5915,7139,672,4392,3434,177
4461,130000,104766,105977,118976,38177,38529,39734
4462,50000,8827,-17384,20988,19833,19589,18980
4463,220000,14999,1534,650,696,2256,-119
4464,50000,27004,22066,19298,17158,18205,18698
4465,20000,18094,33833,8757,-2791,-13871,15996
4466,110000,100949,104171,79741,67662,67882,68753
4467,70000,72128,66870,65831,44398,47011,45171
4468,380000,364031,375254,362512,293594,294175,289902
4469,160000,-13451,7534,-11380,25172,21233,567
4471,90000,7802,7140,403,-622,-126,816
4472,130000,103137,67025,56860,43207,39966,40455
4473,240000,-3941,3919,-23,-7905,7859,-807
4474,120000,64502,66142,67025,68291,69313,73786
4475,240000,181707,171988,177976,177934,189703,192031
4476,300000,59296,61460,53439,50637,52981,55270
4477,100000,24694,24616,24704,24640,25035,30697
4478,200000,3210,-6402,8264,4962,204,-218
4479,50000,32292,43612,35152,13959,10726,16700
4480,100000,-166,-482,-3108,880,-586,1098
4481,500000,83056,-138637,-84237,92682,2671,1844
4483,280000,1376,-1676,601,44,13,-258
4484,160000,140729,135668,93610,50531,-10,-3575
4485,30000,25202,24647,16705,15658,11905,5614
4486,50000,14408,11422,9388,13804,18460,22870
4487,20000,-707,-3716,263,4860,1324,-2580
4488,140000,41495,44395,73225,51999,53964,60581
4489,130000,87639,58868,60766,62839,62908,61225
4490,100000,12272,13309,12561,15306,13594,25143
4491,100000,82898,81859,83231,84320,78988,81011
4492,50000,30976,34154,30511,35246,31448,36910
4493,360000,0,-1650,1650,0,-1650,1650
4494,10000,5674,2640,6968,7829,9685,8384
4495,50000,46273,45920,46771,46760,48209,28085
4496,10000,-2777,1035,1810,5546,8260,10000
4497,210000,-9,-1757,1739,939,0,-500
4498,320000,-3136,8187,1480,-10860,10710,150
4499,70000,38252,39274,40456,41238,41508,43328
4500,160000,50697,49899,38447,37663,37935,39736
4501,180000,2524,5235,4894,-13574,21866,0
4502,70000,71570,65433,65567,48673,41756,42719
4503,280000,1166,-3309,3516,2769,0,0
4504,40000,0,0,0,0,0,0
4505,50000,31384,32554,35690,32817,34252,35645
4507,30000,32755,31973,30931,28945,28103,29846
4508,20000,585,0,0,-528,0,0
4509,130000,113378,116993,118903,119578,122334,125785
4510,10000,0,871,0,0,390,-780
4511,70000,65626,62368,59580,28328,25141,25849
4512,280000,193408,205548,191096,215276,196716,222367
4513,300000,63176,64608,40257,49217,136988,140013
4514,50000,45174,45017,36726,20665,13085,19663
4515,230000,109708,96346,81649,44513,33806,34217
4516,80000,58368,57331,73423,65183,73491,64276
4517,50000,0,0,0,0,-4620,4620
4518,470000,266928,271001,279738,283629,289675,295326
4519,210000,30459,30911,37288,40605,42870,1750
4520,200000,146,-676,670,0,-868,864
4521,50000,47598,47839,47482,27597,27801,27990
4522,300000,49893,51056,47076,60363,57973,59405
4523,500000,0,-306,0,0,0,-4307
4524,150000,40020,9902,86890,-24465,26265,0
4525,50000,10105,-1967,15294,1000,0,0
4526,270000,149346,150223,160480,73144,74944,73577
4527,60000,47299,48107,50406,45971,44603,52190
4528,200000,156358,172635,167260,174026,175458,175516
4529,50000,31672,19669,4210,2493,1200,2800
4530,140000,-9195,12742,8213,891,764,1856
4531,120000,3969,3029,4892,-61,16,-564
4532,20000,12978,14150,15731,15084,15363,15014
4533,210000,3375,9829,-15943,-3480,17894,-2228
4534,70000,55279,52238,53872,51993,60179,56718
4535,230000,0,0,0,0,0,0
4536,270000,-3111,4278,-55739,52025,-4667,7341
4537,20000,0,-17901,17382,16007,20269,11180
4538,120000,0,0,0,0,0,0
4539,140000,3679,3146,-2000,-2716,-2769,-2769
4540,180000,146726,148646,140970,135437,127914,106627
4541,190000,491,-367,442,869,123,-27939
4542,100000,78234,75368,80030,80861,85574,77629
4543,50000,40007,40264,37297,37975,38713,38692
4544,150000,142325,125065,70692,72048,73620,75148
4545,250000,244966,240675,245248,225205,220648,252563
4546,220000,184761,168939,176858,183890,173646,175530
4547,200000,43663,43147,41095,23454,14651,8994
4548,250000,44463,37059,32722,26492,21522,14815
4549,280000,191959,117851,170649,274751,241930,204830
4550,30000,12594,13078,13547,14304,11456,20196
4551,80000,85061,27367,32848,65990,34711,36103
4552,380000,348890,367528,245183,135477,113641,204320
4553,350000,-222610,231659,-190637,191877,184739,176135
4554,160000,23037,22260,0,0,0,0
4555,70000,64905,59539,45220,45184,46058,46888
4556,150000,0,0,0,0,0,0
4557,160000,36083,50028,46928,47812,48355,50254
4558,40000,20963,30589,30572,30646,31628,32023
4559,350000,230211,235975,269446,209615,209499,212658
4560,50000,48439,45129,43791,42922,49482,0
4561,220000,1438,4211,8948,8528,10912,13745
4562,200000,0,0,0,-5196,4361,11501
4563,390000,-2593,13403,6439,-3653,4579,548
4564,330000,25405,960,-876,-3970,3487,607
4565,100000,97905,97882,97877,97864,94343,95658
4566,70000,135181,68833,23167,22335,24521,25310
4567,240000,121395,124371,126218,130003,134700,137293
4568,30000,25275,24948,26783,23484,24962,26203
4569,30000,12105,17838,15838,18131,16130,17302
4570,160000,157832,155959,150264,117067,115410,113693
4571,120000,17462,5692,14312,6262,11923,6903
4572,10000,4158,6339,5111,7031,5780,7676
4573,470000,67052,62636,64036,66466,63538,65400
4574,200000,-679,4053,433,1904,-855,1403
4575,50000,5014,4513,8981,9842,9496,10529
4576,90000,-194,194,0,0,0,-217
4577,220000,-212,392,-796,-8,0,-396
4578,40000,652,0,-26044,25484,23497,24088
4579,200000,177088,165367,171208,165456,159417,157181
4580,120000,31131,31621,31222,31877,28587,24938
4581,210000,156,-276,844,-36,-3916,360
4582,30000,31176,30408,28192,26690,30121,26813
4583,110000,54139,55739,56392,57320,58419,62069
4584,280000,268339,267963,267618,265547,260875,251315
4585,150000,0,0,0,0,0,0
4586,20000,13637,13530,16948,17801,18193,19128
4587,80000,27514,22513,18664,17258,19342,-13265
4588,50000,28228,28925,29699,29104,28115,28386
4589,170000,88480,89089,94286,93196,89227,97272
4590,200000,-479,479,0,0,0,0
4591,300000,0,0,16,74,-886,-106
4592,100000,16197,18219,16929,17336,17746,18040
4593,80000,5431,261,-354,2886,-1571,51
4594,30000,24967,31065,29434,29245,29620,1567
4595,80000,25859,20441,17960,5199,3623,3880
4596,60000,0,0,0,0,0,264
4597,110000,90337,93953,60185,27174,23873,20870
4598,10000,9720,5568,-470,2390,265,1875
4599,290000,18981,21610,24009,23671,21826,19287
4600,30000,26172,26220,780,-30525,30525,0
4601,60000,56975,58914,58674,28411,25730,25138
4602,150000,-25,1182,-1240,-787,2962,1719
4603,750000,952,11653,-35350,28663,-57247,-9949
4604,30000,8721,23566,12417,13983,15525,0
4605,160000,204,1579,518,-3188,2117,426
4606,50000,48278,45748,45368,-3557,5851,-9487
4607,50000,-35763,29373,-34338,-58,42023,32934
4608,160000,72106,73907,74847,76210,77889,79696
4609,150000,145769,147196,142883,110104,74642,75542
4610,30000,23605,28970,26681,25357,30695,29190
4611,350000,16734,5338,542,2418,-2767,7176
4612,20000,16821,17414,17442,17679,19204,19239
4613,50000,45706,6964,9399,9710,9365,9641
4614,180000,10303,10057,11395,5891,-20247,20753
4615,30000,27111,28999,30097,25795,25707,0
4616,100000,52717,53761,57205,5965,23408,21269
4617,20000,10393,12406,12902,11298,13297,11434
4618,80000,70422,72823,62721,43855,40631,41204
4619,150000,84472,84901,83935,74284,69519,74302
4620,230000,754,-5292,4410,-711,-4939,5650
4621,50000,3972,4891,4595,7400,3041,2815
4622,210000,2185,-1841,3603,485,-958,-476
4623,50000,50581,39253,79859,40009,38579,39319
4624,240000,508,-1849,3195,-5451,5817,-2844
4625,500000,244883,206865,109311,68095,131304,189929
4626,210000,4373,6200,0,0,0,0
4627,160000,0,0,0,0,0,-200
4628,250000,0,0,0,0,0,0
4629,500000,15613,15043,7341,14838,-4345,2492
4630,100000,59121,51604,58635,64994,58727,65639
4631,20000,14685,15034,18302,18343,18689,5097
4632,30000,12926,15525,0,0,0,0
4633,50000,11901,620,390,-42568,39458,44849
4634,160000,97405,113110,119697,111284,114290,86228
4635,50000,-19802,-4,-142,-137,-11118,9504
4636,90000,3189,-1299,693,390,-390,780
4637,20000,9867,11411,10779,11879,10879,14379
4638,50000,33145,34404,37150,0,0,0
4639,230000,11391,7723,13554,12134,0,0
4640,150000,72713,77728,72928,73917,74706,76563
4641,50000,46507,47463,31845,19270,18992,19054
4642,280000,27290,-720,720,0,0,0
4643,500000,305816,252100,262636,272998,283343,293178
4644,90000,-41655,31394,11268,-10000,10000,-200
4645,360000,59471,23610,40062,8146,5007,1070
4646,140000,94258,86923,13203,16241,-20006,-112177
4647,140000,-430,-1429,1216,650,-650,5930
4648,230000,0,0,0,0,0,0
4649,50000,32578,37002,20433,13137,11030,10373
4650,130000,477,-1145,1336,0,836,-2508
4651,330000,222221,259517,244463,247993,252987,258359
4652,210000,4830,-1000,-14385,10083,15190,20899
4653,10000,3664,4673,6538,5797,7673,8264
4654,50000,47395,47572,49418,18373,16815,16157
4655,100000,36245,34602,47885,44317,44400,51588
4656,70000,62763,36209,26919,25439,23590,28253
4657,50000,37800,39558,43307,43884,44885,43821
4658,170000,17302,13653,2234,6703,3145,60
4659,100000,42078,41236,45937,46778,46620,46888
4660,80000,57924,50293,48972,45856,34655,-417
4661,150000,74269,65832,64434,65018,61710,59123
4662,50000,25494,26148,27190,27324,27530,27690
4663,80000,0,-862,-40438,41300,0,-10000
4664,120000,75404,75498,78881,79528,81316,82945
4665,470000,158829,99339,86390,42181,44402,32121
4666,80000,16856,5826,7082,8082,8082,8082
4667,60000,40307,51232,48109,47979,50698,52264
4668,80000,72064,71306,76978,27368,27674,28478
4669,50000,22818,22198,17527,7510,11707,10939
4670,500000,386800,388140,397082,398759,410576,416871
4671,110000,47432,44766,38796,41251,40921,27748
4672,80000,38619,41150,0,0,0,0
4673,50000,48195,40549,44015,26724,43746,46460
4674,400000,278863,275153,269378,269278,265923,-3712
4675,90000,87268,85428,85759,85207,87761,85863
4677,360000,10621,0,0,-150,13,137
4678,170000,157827,161490,171107,34034,31369,32562
4679,110000,100656,83525,50089,48485,48424,48513
4680,220000,214617,216416,166565,169156,168745,153362
4681,200000,188107,192616,194728,190594,193070,132002
4682,500000,-3270,-27490,-113031,143791,-200,-200
4683,340000,307356,316870,328912,191497,196835,135412
4684,180000,0,0,0,0,0,0
4685,490000,-1140,381,-4708,1683,845,1043
4686,60000,53832,55470,54095,28281,40728,20137
4687,250000,186,-3709,4944,-469,-149,907
4688,20000,14397,15734,17445,17743,18458,18480
4689,170000,171062,153870,165156,155137,152101,160364
4690,160000,16626,14075,13951,17158,23506,20859
4691,80000,1672,0,0,0,0,0
4692,380000,-2434,5076,4669,725,-9012,-12175
4693,70000,68730,62197,48178,28921,28986,28440
4694,80000,75038,75683,77856,60539,62020,63209
4695,380000,357527,320660,292009,279019,282683,290491
4696,230000,12499,1046,14,-7805,-775,4013
4697,130000,128305,135624,126459,90122,86824,86666
4698,160000,2851,0,0,0,0,0
4699,50000,35530,24413,17057,17788,16108,13256
4700,180000,96462,113728,88314,91552,87422,59022
4701,220000,71451,74094,77680,78944,80963,82930
4702,200000,-340,340,-148,148,-50,-7098
4703,520000,435924,353574,321453,242873,246553,251974
4704,30000,11264,11911,13236,9948,15656,16442
4705,150000,0,0,-4026,2393,141,441
4706,210000,-4,0,330,-330,330,-825
4707,50000,40479,38544,31604,28935,27747,28977
4708,20000,16563,17557,17200,17531,17767,18495
4709,290000,-14335,15542,15633,-2660,3987,-7135
4710,50000,-24226,38828,48487,-32382,818,-48996
4711,130000,122473,122738,124780,94212,92445,92367
4712,60000,54809,-3015,1188,792,-27248,26248
4713,20000,7794,14367,12544,14114,14228,14786
4714,160000,114459,125916,127325,125030,129656,131448
4715,250000,-9094,-35273,49453,8014,-1124,-2371
4716,80000,17877,18754,19958,20010,16087,20767
4717,60000,52781,48407,43057,26491,26586,28119
4718,80000,-49230,64830,58493,53281,38853,30401
4719,60000,58323,60729,55338,26781,20691,19250
4720,410000,8148,2719,-11900,11422,91,387
4721,240000,2038,24058,24726,26222,27895,29223
4722,30000,13784,12043,13384,13818,13900,14331
4723,200000,6349,3749,4633,44,-445,-334
4724,180000,34205,29411,20051,25451,10123,30680
4725,100000,83550,86724,89799,88861,94634,87537
4727,60000,0,0,0,0,0,0
4728,50000,3300,8189,5909,9767,7466,10900
4729,240000,-5910,5823,0,0,0,0
4730,220000,42944,39906,39446,33604,10540,20180
4731,40000,1975,-334,1748,832,-1435,1851
4732,80000,69330,54141,24987,-600,-600,-600
4733,320000,-3878,4208,-780,780,0,-38920
4734,420000,14417,40360,-9916,36045,58043,58830
4735,500000,-7113,-39918,36677,4776,10761,-104
4736,290000,138341,130849,117603,110857,96472,88069
4737,190000,174779,166493,160982,145621,137439,128742
4738,100000,97429,97532,96585,97452,83752,96902
4739,230000,0,0,0,0,0,-8618
4740,50000,19606,19017,17409,16823,20379,17720
4741,210000,44725,44130,43648,15168,8557,-108956
4742,90000,0,0,0,0,0,0
4743,480000,98197,100010,103013,101039,104188,104491
4744,120000,-8,-208,-58408,55392,56805,60200
4745,160000,156761,164678,147948,155469,162129,143386
4746,110000,43657,46615,49519,45421,48644,48662
4747,260000,-20,-2040,2000,0,0,0
4748,80000,1120,2927,173,-3265,-6569,6462
4749,50000,-104,-2844,2848,-459,1051,-51
4750,50000,33675,24671,24332,20090,20749,21557
4751,100000,71012,74679,69466,69067,56995,54850
4752,20000,8766,3481,11318,15096,12717,16159
4753,260000,-6500,6500,0,-2223,2223,-58878
4754,680000,181514,179883,183076,174957,175226,170731
4755,50000,-46942,50005,46629,46882,500,0
4756,170000,114801,103680,108325,105699,103530,97730
4757,210000,0,-652,978,652,326,-652
4758,500000,-332,-1722,-77033,42236,17502,-2548
4759,180000,15782,15446,24956,23204,22782,23208
4760,340000,-3907,838,411,-1155,1453,0
4761,160000,18229,171575,120531,93754,92337,39096
4762,30000,24846,26218,27067,27534,28256,13769
4763,230000,197462,203348,170713,89802,91596,74809
4764,30000,26624,28255,24972,19378,5765,0
4765,480000,2118,8376,40892,19873,-49146,51985
4766,360000,11867,4840,-16,-3299,-188,3438
4767,500000,71450,73463,74611,75635,77320,82068
4768,220000,9499,-2458,7835,-3191,4201,-23415
4769,100000,87791,83048,79527,50605,47666,48689
4770,200000,0,0,-1500,1500,0,0
4771,200000,186638,187584,194226,196342,180431,18959
4772,90000,87453,84519,86991,87938,87576,84654
4773,50000,25962,26714,28367,28134,18018,28605
4774,80000,43691,44662,45795,46312,47392,48526
4775,260000,3339,8333,0,0,0,0
4776,80000,59728,59558,55245,48732,46176,48330
4777,20000,-348,-738,-738,-1518,-1518,-1518
4778,50000,-3333,3333,-8796,7796,2346,3600
4779,90000,88864,87378,89194,87684,88490,87858
4780,290000,340890,245556,242180,227502,212967,188031
4781,20000,17220,18030,20208,20974,10391,26189
4782,230000,0,0,0,0,0,0
4783,360000,-1680,1680,-5950,5450,6035,5413
4784,50000,46031,46963,48754,18169,18680,18869
4785,80000,58082,15516,-64477,73378,74305,0
4786,100000,88249,102864,96469,67652,65486,65938
4787,390000,275888,280645,272288,169568,162181,144478
4788,120000,102820,104060,102262,41605,42590,43204
4789,20000,20971,20360,19191,19243,16624,0
4790,150000,59156,66738,-5018,4901,-1509,699
4791,20000,-3364,20192,19022,19606,0,0
4792,20000,15974,31262,15057,13389,12265,11214
4793,250000,93727,96134,101934,103673,103780,109461
4794,230000,17225,14375,6864,-55345,60349,50791
4795,20000,18859,34732,17303,15817,10436,17718
4796,80000,20331,20793,22604,22957,23832,24169
4797,310000,48807,48544,48409,47339,47377,46754
4798,480000,441962,409466,315291,309757,314538,320273
4799,20000,16199,-187,187,-18,-18,-18
4800,50000,44250,45583,46447,42454,42236,12324
4801,190000,254951,237094,218603,202639,57480,181113
4802,50000,43440,39389,46502,18249,18952,18234
4803,50000,7281,7998,7695,10521,11331,12125
4804,50000,20619,17055,19161,19553,17933,16855
4805,300000,-30226,51948,2861,13323,-51729,5096
4806,60000,40238,35919,29529,25780,28216,37976
4807,260000,-41197,34005,578,-798,2906,-4947
4808,190000,-92368,79370,80672,81908,83049,84808
4809,500000,402420,410996,421392,119218,115650,104473
4810,300000,55700,28798,-5243,5288,7565,-3053
4811,50000,48725,49447,47158,19516,19525,19867
4812,50000,27818,28197,26896,35045,32953,34743
4813,130000,19565,20446,18245,24410,6085,7255
4814,80000,604,0,0,0,0,0
4815,50000,42823,41690,41385,42302,39628,40856
4816,50000,38013,18875,18597,16830,17397,18064
4817,120000,67835,57486,57779,60958,55763,50504
4818,220000,-8218,-5448,-5399,11553,6422,-2238
4819,50000,49005,48381,46280,44978,41657,46233
4820,90000,84054,85080,86306,86079,83632,94337
4821,360000,0,0,0,0,0,-84216
4822,280000,20650,0,-4533,3533,-60074,63607
4823,270000,12823,420,-4800,-10768,5278,9186
4824,200000,154256,115078,109718,106445,74421,21917
4825,80000,77458,75715,69363,55071,56185,57155
4826,60000,0,-15798,15798,0,-11688,11688
4827,60000,54773,57326,54575,26987,27478,25619
4828,90000,-51060,87233,87008,51191,53232,47410
4829,10000,5865,6948,8699,9058,8636,9392
4830,140000,91067,89665,84791,77284,77086,78659
4831,280000,167239,156526,142968,94517,88744,78696
4832,140000,117241,63929,57536,67645,57839,51457
4833,110000,12462,13674,14824,14729,15289,14276
4834,120000,20958,-3318,-2718,-80617,78788,79665
4835,130000,126657,123651,124014,123962,126873,126682
4836,290000,214502,208987,158885,95943,32333,14481
4837,80000,20364,20638,22352,21801,21900,22965
4838,50000,15006,12475,15227,16662,14253,17982
4839,450000,2,-10,-3681,4007,0,0
4840,50000,28911,31130,29292,27856,28086,28094
4841,170000,148263,147154,113009,60868,19368,-4473
4842,210000,28967,38465,54928,50359,54782,83665
4843,30000,19684,21018,23742,23893,24333,23911
4844,230000,55071,53850,55074,48670,48652,49267
4845,170000,2154,-350,350,0,0,-1396
4846,20000,16629,16907,19125,19107,19003,19990
4847,50000,48271,23982,24142,14132,16613,14645
4848,100000,61917,64673,63792,64793,64682,63632
4849,140000,390,0,0,0,0,-2943
4850,100000,87368,78372,68451,65030,64244,63320
4851,150000,-1505,1505,1333,0,-1930,1930
4852,60000,28831,26974,24215,4432,7568,839
4853,200000,189322,190034,193726,190918,190330,192250
4854,200000,-2531,14258,5966,8020,15027,4207
4855,50000,46365,46845,49720,9692,19751,9178
4856,60000,49934,38855,36342,29250,8250,0
4857,50000,45652,40646,47619,45023,44332,48442
4858,140000,20162,20806,19048,9344,28060,-616
4859,640000,52645,51656,57885,57090,56838,56770
4860,210000,82905,87876,86787,88488,90452,92334
4861,60000,41757,27772,29210,27414,28323,27816
4862,80000,70385,70043,73462,68831,70575,71794
4863,290000,2936,-1372,1372,0,-3260,883
4864,150000,0,0,0,0,0,0
4865,200000,40528,104201,101410,147000,197795,18871
4866,130000,880,3446,4833,3236,5178,2682
4867,490000,0,-244033,229022,215213,203104,206715
4868,200000,9759,-241,-241,-241,-8299,7817
4869,210000,693,5783,-19162,3883,-23511,85261
4870,260000,3735,-4881,4358,-3280,2344,1443
4871,80000,46037,46589,47432,47043,45805,43626
4872,50000,40014,38400,30437,13338,10577,13833
4873,210000,73237,75605,73463,89170,55683,-88604
4874,210000,0,0,-95,-57090,56595,35684
4875,40000,18557,19431,19780,23114,21784,21903
4876,110000,177006,163095,150033,130271,126242,5569
4877,50000,22277,24195,23056,18448,18881,19085
4878,80000,1874,288,917,215,-2397,3099
4879,80000,4744,-2510,-140,674,556,2531
4880,250000,88754,93001,88301,67227,68602,67448
4881,100000,72296,73272,75343,76111,76993,78279
4882,50000,39205,46516,41468,45703,50774,46514
4883,150000,114800,120379,118281,114154,126443,129319
4884,70000,14526,20235,16712,21228,22612,21101
4885,150000,249,0,-12877,11319,1333,225
4886,360000,-7903,6743,2408,-1763,-14738,-24121
4887,90000,49766,51455,33759,51397,82516,53700
4888,160000,4751,5925,7612,7780,7798,8253
4889,70000,65820,57392,28133,27629,28146,29093
4890,360000,314756,291778,243876,244641,246398,244829
4891,420000,25718,0,0,-1643,-1757,-396700
4892,50000,46988,46849,7757,7941,9593,5681
4893,160000,110819,98029,108902,110743,118353,112398
4894,100000,-199,199,0,0,-150,-400
4895,240000,249,-3724,7448,-2090,-3038,10942
4896,390000,93259,89122,86472,74663,84449,70445
4897,80000,55727,53084,49766,46043,46621,47585
4898,360000,23633,25608,25439,21932,26396,27611
4899,210000,-1372,4399,-3123,-19,-1050,2079
4900,320000,0,-1200,1200,-600,-5337,5467
4901,20000,6410,8362,7992,7452,9720,11320
4902,180000,186895,161768,122216,115583,114115,106728
4903,490000,195873,200880,205628,207883,215541,214889
4904,30000,23736,25135,25283,29061,26692,28850
4905,290000,111,-904,904,904,0,-6397
4906,340000,0,0,0,0,0,0
4907,40000,-740,0,0,-423,423,0
4908,50000,-9939,-413,7904,-16269,7194,2511
4909,30000,19926,18725,18456,19529,7428,25227
4910,60000,253,-583,823,443,-758,775
4912,160000,0,0,0,0,0,0
4913,170000,9020,-7462,-92212,63479,135877,133190
4914,50000,10664,40985,-1915,16245,16316,14342
4915,50000,7087,8708,9650,11358,10480,10802
4916,360000,0,0,0,0,0,0
4917,160000,124804,128828,130046,131268,134432,135971
4918,260000,77747,102898,111976,92935,42817,31214
4919,350000,-79958,-91556,280478,8142,160442,-1521
4920,30000,25876,24031,27788,24484,24607,23597
4921,180000,17207,15057,17019,16077,19043,17755
4922,230000,936,-1623,1405,218,-140,140
4923,50000,0,0,0,0,0,0
4924,370000,360014,364377,343120,303740,310540,304195
4925,30000,19826,25401,30910,29087,28132,30418
4926,280000,-3405,3405,2973,-962,-2519,3472
4927,210000,0,0,0,0,0,0
4928,150000,-381,797,381,-1085,1015,-2542
4929,170000,-8431,14635,-3310,2510,4410,19720
4930,80000,69833,71453,73508,74390,73187,79696
4931,30000,16609,13757,18089,16004,18727,16779
4932,50000,49198,47961,48924,48448,48850,48104
4933,140000,28314,23627,20893,40255,14864,13154
4934,30000,26505,24089,25762,23856,24554,25177
4935,50000,32598,18356,35312,11329,9916,15959
4936,20000,0,0,-390,780,0,0
4937,180000,13788,14534,16100,19900,-100,-100
4938,30000,22794,23517,24117,23917,0,0
4939,210000,88083,84001,86533,88027,90524,77265
4940,30000,18180,19795,20723,18523,1294,2974
4941,50000,18851,18826,18894,19394,19145,19175
4942,270000,381,-1176,680,-558,169,-5805
4943,70000,21537,22549,23879,24561,25357,25613
4944,110000,-99472,100279,49715,45147,37769,-32291
4945,20000,1009,-12481,4919,8067,573,500
4946,150000,142887,144445,143944,146580,141609,146158
4947,420000,170495,155711,134805,97104,60944,46259
4948,20000,299,-1,-496,-1796,1793,-1205
4949,50000,48079,46849,11345,19061,18985,18687
4950,170000,187529,183494,176080,132791,124080,119373
4951,20000,22822,21608,21919,18775,19681,7376
4952,360000,2473,-27,-27,-27,-27,-27
4953,280000,8719,844,0,-1000,1000,0
4954,340000,-2031,2865,-7613,6770,-417,-17098
4955,180000,146866,155144,184650,0,0,0
4956,280000,-142836,146097,147183,142082,143284,147173
4957,60000,9853,11589,24176,29712,26099,28601
4958,150000,111922,84215,41593,35813,37164,41465
4959,300000,33522,33660,25927,31943,36680,39383
4960,210000,190729,188025,155277,111851,92322,87673
4961,50000,26394,27410,28829,29378,29125,30877
4962,140000,0,0,0,-172,-156,156
4963,180000,1814,-44505,51903,53458,56616,52532
4964,380000,38829,39850,41016,40243,44222,44629
4965,10000,6418,7300,780,180,0,0
4966,50000,44561,39872,17430,17348,17402,15744
4967,50000,48192,47561,42519,28482,29205,26895
4968,50000,7061,7875,9396,11190,12967,12491
4969,140000,8025,8787,6127,6850,8262,3789
4970,110000,104945,107780,107157,104825,46731,47824
4971,260000,863,1202,1160,771,-1285,-846
4972,50000,47522,47727,48753,8460,8296,8676
4973,180000,1782,-1099,691,-132,-18586,-6386
4974,150000,54240,55995,57545,58251,59720,61455
4975,80000,33429,29828,30755,26213,24902,17213
4976,210000,0,0,0,0,0,0
4977,320000,-1000,1000,0,0,0,0
4978,100000,89688,92179,93709,96196,101000,0
4979,100000,42741,-5120,15807,4116,-3732,3512
4980,50000,12271,8675,16195,11134,11398,11049
4981,240000,190,2500,2500,2500,2500,0
4982,300000,0,-12351,12351,1172,-1755,12082
4983,200000,193128,128958,59153,0,0,0
4984,270000,80716,82324,87247,87823,89164,90211
4985,150000,72073,73665,78214,71226,79893,45852
4986,260000,-5,-9581,9542,7235,-197,-371
4987,50000,24939,11955,16615,17161,17091,17259
4988,130000,51559,47965,49531,47876,53232,56571
4989,80000,56576,6255,7281,6433,5962,4850
4990,20000,8501,11851,17572,17056,13653,27931
4991,410000,235659,238934,238511,232845,205767,207410
4992,80000,70154,81697,73547,81325,72550,76715
